com.samsung.health.oxygen_saturation.raw,6307003,1
start_time,binning_data,update_time,create_time,is_integrated,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2026-02-03 07:55:00.000,784a9426-7c4f-443e-b614-550d86bc7db7.binning_data.json,2026-02-03 12:06:32.443,2026-02-03 12:06:32.443,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-02-03 12:06:00.000,784a9426-7c4f-443e-b614-550d86bc7db7,
2026-02-05 06:39:00.000,6500d143-f21c-47b3-b563-e74a94ce999c.binning_data.json,2026-02-05 13:51:50.322,2026-02-05 13:51:50.322,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-02-05 13:39:00.000,6500d143-f21c-47b3-b563-e74a94ce999c,
2026-02-09 05:50:00.000,5c5971a0-6d98-4610-acd0-a25a28e5a14d.binning_data.json,2026-02-09 10:31:40.184,2026-02-09 10:31:40.184,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-02-09 10:05:00.000,5c5971a0-6d98-4610-acd0-a25a28e5a14d,
2026-02-10 06:11:00.000,901a6160-0e09-4b70-9f2e-786bfd3f6fd9.binning_data.json,2026-02-10 10:34:43.085,2026-02-10 10:34:43.085,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-02-10 10:04:00.000,901a6160-0e09-4b70-9f2e-786bfd3f6fd9,
2026-02-11 04:38:00.000,16dc93cf-1a4e-4c18-a28e-639cacbe9bd2.binning_data.json,2026-02-11 10:38:41.564,2026-02-11 10:38:41.564,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-02-11 10:13:00.000,16dc93cf-1a4e-4c18-a28e-639cacbe9bd2,
2026-02-12 10:26:00.000,b3ef9ee0-5cfd-4240-a3b3-ea305b3c1f7d.binning_data.json,2026-02-12 16:02:38.610,2026-02-12 16:02:38.610,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-02-12 15:46:00.000,b3ef9ee0-5cfd-4240-a3b3-ea305b3c1f7d,
2026-02-13 05:47:00.000,b76bddb4-9de2-4475-aa5d-4faf7bd114ab.binning_data.json,2026-02-13 10:14:50.025,2026-02-13 10:14:50.025,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-02-13 09:47:00.000,b76bddb4-9de2-4475-aa5d-4faf7bd114ab,
2026-02-14 07:20:00.000,57d79c70-f87c-499b-bea4-b8ce211849bf.binning_data.json,2026-02-14 15:32:34.843,2026-02-14 15:32:34.843,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-02-14 14:59:00.000,57d79c70-f87c-499b-bea4-b8ce211849bf,
2026-02-16 07:22:00.000,407d2082-4eef-464d-ba50-9f7ad774a335.binning_data.json,2026-02-16 10:05:31.160,2026-02-16 10:05:31.160,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-02-16 10:05:00.000,407d2082-4eef-464d-ba50-9f7ad774a335,
2026-02-17 05:39:00.000,a7ae0b20-3caf-40d0-9dd5-7d27cf123061.binning_data.json,2026-02-17 12:25:33.310,2026-02-17 12:25:33.310,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-02-17 11:59:00.000,a7ae0b20-3caf-40d0-9dd5-7d27cf123061,
2026-02-17 13:58:00.000,88ac47ad-521f-450b-bb66-4975824bcb83.binning_data.json,2026-02-17 18:20:33.276,2026-02-17 18:20:33.276,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-02-17 17:50:00.000,88ac47ad-521f-450b-bb66-4975824bcb83,
2026-02-18 06:10:00.000,0843b260-4ba9-47ea-b871-7b0dcb1adb6a.binning_data.json,2026-02-18 10:40:05.097,2026-02-18 10:40:05.097,,UTC-0500,srp9fWplyX,,com.sec.android.app.shealth,2026-02-18 10:14:00.000,0843b260-4ba9-47ea-b871-7b0dcb1adb6a,
