com.samsung.shealth.badge,6307003,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
1,2024-07-31 04:00:00.000,,,1,,2024-07-31 15:22:50.911,2024-07-31 15:22:50.911,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-08-01 03:59:59.999,59103ddd-d2d7-4b49-9cc3-b63523bb2fcf,
1,2024-08-01 04:00:00.000,,,1,,2024-08-01 16:35:37.684,2024-08-01 16:35:37.684,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-08-02 03:59:59.999,fac60491-5d32-46bf-8f3d-5a73775bf2aa,
1,2024-08-10 04:00:00.000,,,1,,2024-08-10 12:47:54.165,2024-08-10 12:47:54.165,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-08-11 03:59:59.999,85d500ad-51cf-41ae-aa01-bce5c1da7185,
1,2024-08-12 04:00:00.000,,,1,,2024-08-12 11:31:57.865,2024-08-12 11:31:57.865,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-08-13 03:59:59.999,44d4f0cf-9f3d-4721-9450-6d7917f1bcc9,
1,2024-08-13 04:00:00.000,,,1,,2024-08-13 11:02:08.033,2024-08-13 11:02:08.033,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-08-14 03:59:59.999,00f60a3e-bead-4e56-b8ca-971d6578ca84,
1,2024-08-14 04:00:00.000,,,1,,2024-08-14 10:45:30.907,2024-08-14 10:45:30.907,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-08-15 03:59:59.999,97b4581c-ee4a-45cf-b9f4-8459dd46486f,
1,2024-08-17 04:00:00.000,,,1,,2024-08-17 13:19:44.322,2024-08-17 13:19:44.322,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-08-18 03:59:59.999,cbe289e6-6e9c-409d-b4e0-4265c5833e3c,
1,2024-08-20 04:00:00.000,,,1,,2024-08-20 11:10:25.493,2024-08-20 11:10:25.493,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-08-21 03:59:59.999,cab6f72c-9203-4c40-bdac-0000f5f69668,
1,2024-08-21 04:00:00.000,,,1,,2024-08-21 12:06:06.013,2024-08-21 12:06:06.013,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-08-22 03:59:59.999,c72fdd0a-f785-49c0-92a8-dbb6a38be8ae,
1,2024-08-22 04:00:00.000,,,1,,2024-08-22 11:33:31.319,2024-08-22 11:33:31.319,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-08-23 03:59:59.999,8ddef2ea-cfd1-4bd4-92cd-b4fc5c712add,
,2024-08-24 18:40:53.137,9014001,,1,,2024-08-25 02:47:24.115,2024-08-24 18:52:38.669,,exercise_goal_first_achieve,,1,UTC-0400,,KccLfCO56W,com.sec.android.app.shealth,275d9852-0285-424e-9f94-b4afd64db02a,tracker.exercise,2024-08-24 18:52:36.791,7430f57a-c1cf-457c-af62-a1875f8a5440,
1,2024-08-29 04:00:00.000,,,1,,2024-08-29 11:09:52.404,2024-08-29 11:09:52.404,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-08-30 03:59:59.999,5490cc9d-1f5d-48e1-8d01-f71b0c2b6b93,
1,2024-09-01 04:00:00.000,,,1,,2024-09-01 12:33:30.574,2024-09-01 12:33:30.574,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-09-02 03:59:59.999,bc9f5eb8-c07a-4c26-819f-1676d982da4a,
1,2024-09-04 04:00:00.000,,,1,,2024-09-04 12:38:39.212,2024-09-04 12:38:39.212,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-09-05 03:59:59.999,91861537-d030-4653-8e61-e38bdfe0d107,
1,2024-09-08 04:00:00.000,,,1,,2024-09-08 12:12:19.930,2024-09-08 12:12:19.930,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-09-09 03:59:59.999,aca37db8-9cc1-4006-ab17-df3daf510219,
0,1970-01-01 00:00:00.000,,,0,,2026-02-12 17:54:59.767,2024-09-09 09:52:50.964,,sleep_3_days_streak,,,UTC-0500,"1770958799999,1",OOh3/TRIp1,com.sec.android.app.shealth,,Sleep.Goal,2026-02-13 04:59:59.999,ed4df9bf-74c9-4a3b-b655-31ae15ee32c9,
1,2024-09-16 04:00:00.000,,,1,,2024-09-16 13:27:37.433,2024-09-16 13:27:37.433,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-09-17 03:59:59.999,598a0675-9973-46c0-9abc-d2a35bf3ad9f,
1,2024-09-18 04:00:00.000,,,1,,2024-09-18 12:45:59.959,2024-09-18 12:45:59.959,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-09-19 03:59:59.999,4c359c53-4b77-40c2-8143-383aaae3205c,
1,2024-09-24 04:00:00.000,,,1,,2024-09-24 11:11:29.448,2024-09-24 11:11:29.448,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-09-25 03:59:59.999,3c277986-8a88-4f6f-9e77-2ca821056bf2,
1,2024-09-25 04:00:00.000,,,1,,2024-09-25 13:11:03.682,2024-09-25 13:11:03.682,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-09-26 03:59:59.999,b2b609f4-b490-48b8-8e53-c5c11a2cf352,
1,2024-09-27 04:00:00.000,,,1,,2024-09-27 12:52:29.632,2024-09-27 12:52:29.632,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-09-28 03:59:59.999,f8682cf5-2743-4292-a519-86465b51d54b,
1,2024-09-28 04:00:00.000,,,1,,2024-09-28 16:27:54.191,2024-09-28 16:27:54.191,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-09-29 03:59:59.999,0bd8e86e-438c-402e-abb2-da0cc6888afa,
