com.samsung.shealth.program.sleep_coaching.mission,6307003,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
62660010,null,11,62660010,2024-04-15 22:45:56.139,2024-04-15 22:45:56.139,2,3,HB_11,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,fe4682d4-2639-4572-89a3-1b7e94e8306b,0,
62660010,null,2,62660010,2024-04-19 12:06:48.046,2024-04-15 22:45:56.140,2,3,HB_02,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,f6a90c23-f7fc-460b-85e5-326758cbb198,1,
62660010,null,3,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,3,HB_03,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,c3638bcc-0132-4a35-a294-aff854b11bc0,0,
62660010,null,5,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,3,HB_05,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,14df39a0-cb51-4d9f-9cd5-1b291527327e,0,
62660010,null,6,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,3,HB_06,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,a2256a0e-15da-4fba-b5e2-241a47989f11,0,
62660010,null,9,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,3,HB_09,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,c8c80040-7d12-4fb2-bfa1-8526480b0123,0,
62660010,null,10,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,4,HB_10,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,4dd7e1ce-f0d8-4077-8d7c-d8265cb210e0,0,
62660010,null,11,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,4,HB_11,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,6384d628-40e8-4a69-8118-520345cbe14d,0,
62660010,null,2,62660010,2024-04-20 15:48:13.123,2024-04-15 22:45:56.140,2,4,HB_02,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,a68f51ae-6ec0-4dc0-9a75-16ad6c6cd4f6,3,
62660010,null,3,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,4,HB_03,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,de0f5e81-4c32-4d1a-8209-14b78b65940d,0,
