com.samsung.shealth.tracker.pedometer_recommendation,6307003,5
update_time,create_time,value,time_offset,deviceuuid,pkg_name,set_time,datauuid
2019-09-05 13:46:56.961,2019-09-05 13:46:56.961,8000,UTC-0600,1nlD1Z6VIo,com.sec.android.app.shealth,1567691216947,3ce35641-9ae5-4858-9144-5ad202ca91d5,
2019-09-14 05:24:17.040,2019-09-14 05:24:17.040,6000,UTC-0600,JZRZc4b3Pg,com.sec.android.app.shealth,1568438657040,37a9b71e-36e9-07f2-fcc0-b413c1afed7f,
2021-11-04 20:37:02.916,2021-11-04 20:37:02.916,8500,UTC-1000,GHswTlQl8d,com.sec.android.app.shealth,1636058222915,ad89f7ec-6068-7439-b2c9-026a69d00e9b,
2024-12-28 01:31:29.073,2024-12-28 01:31:29.073,9900,UTC-0400,OKVbQxqZP/,com.sec.android.app.shealth,1735349489067,03f0e8ff-5a28-4669-9fcd-e2b3fdf96a2f,
2024-12-28 01:31:55.460,2024-12-28 01:31:55.460,9800,UTC-0400,OKVbQxqZP/,com.sec.android.app.shealth,1735349515450,7786712c-3578-4d6a-91aa-7a1a6b76e32d,
2024-12-28 01:31:56.099,2024-12-28 01:31:56.099,10000,UTC-0400,OKVbQxqZP/,com.sec.android.app.shealth,1735349516086,fbcc0044-19fe-452e-b22c-20a98494e4fe,
2024-12-28 01:31:58.061,2024-12-28 01:31:58.061,8000,UTC-0400,OKVbQxqZP/,com.sec.android.app.shealth,1735349518052,e018926c-ad3c-4ce8-b0c7-e40f54048d6f,
2025-07-03 03:28:19.026,2025-07-03 03:28:19.016,8000,UTC-0400,Mk66SbFqK1,com.sec.android.app.shealth,1749007698950,00d2a890-d668-4493-a736-4dce930715fa,
