com.samsung.shealth.cycle.daily_temperature.raw,6307003,2
start_time,custom,hr_rri,update_time,create_time,temperature,time_offset,deviceuuid,pkg_name,tracked_by,end_time,datauuid
2024-04-22 07:35:00.000,,67152a46-f3e3-4201-b709-6da72354651d.hr_rri.json,2024-04-22 10:38:04.658,2024-04-22 10:38:04.658,67152a46-f3e3-4201-b709-6da72354651d.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-22 10:12:00.000,67152a46-f3e3-4201-b709-6da72354651d,
2024-04-23 03:25:00.000,,f3b7302c-a906-4e05-9db2-67f789953513.hr_rri.json,2024-04-23 10:46:04.441,2024-04-23 10:46:04.441,f3b7302c-a906-4e05-9db2-67f789953513.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-23 10:46:00.000,f3b7302c-a906-4e05-9db2-67f789953513,
2024-04-23 11:11:00.000,,71438060-988a-41c4-913d-91f0cfb88d7c.hr_rri.json,2024-04-23 12:23:28.767,2024-04-23 12:23:28.767,71438060-988a-41c4-913d-91f0cfb88d7c.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-23 12:23:00.000,71438060-988a-41c4-913d-91f0cfb88d7c,
2024-04-24 04:45:00.000,,cfeb9237-d599-44c6-944f-a14eb57c1270.hr_rri.json,2024-04-24 13:14:49.248,2024-04-24 13:14:49.248,cfeb9237-d599-44c6-944f-a14eb57c1270.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-24 13:10:00.000,cfeb9237-d599-44c6-944f-a14eb57c1270,
2024-04-25 07:14:00.000,,fdfd9390-5ff2-49f0-871f-306a4f0dc0c6.hr_rri.json,2024-04-25 09:41:34.934,2024-04-25 09:41:34.934,fdfd9390-5ff2-49f0-871f-306a4f0dc0c6.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-25 09:36:00.000,fdfd9390-5ff2-49f0-871f-306a4f0dc0c6,
2024-04-25 17:31:00.000,,2e2523f5-15a1-410a-9a35-f7667a470762.hr_rri.json,2024-04-25 19:16:14.873,2024-04-25 19:16:14.873,2e2523f5-15a1-410a-9a35-f7667a470762.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-25 19:16:00.000,2e2523f5-15a1-410a-9a35-f7667a470762,
2024-04-26 05:14:00.000,,6304ff15-d849-4527-8131-1b538631912b.hr_rri.json,2024-04-26 09:51:28.823,2024-04-26 09:51:28.823,6304ff15-d849-4527-8131-1b538631912b.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-26 09:50:00.000,6304ff15-d849-4527-8131-1b538631912b,
2024-04-26 13:32:00.000,,a750c37a-7cca-4abc-a997-35bf436d32a8.hr_rri.json,2024-04-26 15:03:18.903,2024-04-26 15:03:18.903,a750c37a-7cca-4abc-a997-35bf436d32a8.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-26 15:03:00.000,a750c37a-7cca-4abc-a997-35bf436d32a8,
2024-04-27 05:36:00.000,,5faaa0b6-5331-420b-a68d-7202727c6615.hr_rri.json,2024-04-27 11:01:12.070,2024-04-27 11:01:12.070,5faaa0b6-5331-420b-a68d-7202727c6615.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-27 11:01:00.000,5faaa0b6-5331-420b-a68d-7202727c6615,
2024-04-28 04:57:00.000,,9a05ccd5-4301-4b10-bccf-fd291cbd6c3a.hr_rri.json,2024-04-28 10:14:00.747,2024-04-28 10:14:00.747,9a05ccd5-4301-4b10-bccf-fd291cbd6c3a.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-28 10:13:00.000,9a05ccd5-4301-4b10-bccf-fd291cbd6c3a,
2024-04-29 02:57:00.000,,4a4a0e93-cb34-49bd-aa8c-e0204d2f7f81.hr_rri.json,2024-04-29 10:53:35.515,2024-04-29 10:53:35.515,4a4a0e93-cb34-49bd-aa8c-e0204d2f7f81.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-29 10:31:00.000,4a4a0e93-cb34-49bd-aa8c-e0204d2f7f81,
2024-04-30 03:10:00.000,,bd4a4f11-adb0-46c1-8647-8f12b3785df4.hr_rri.json,2024-04-30 10:40:53.204,2024-04-30 10:40:53.204,bd4a4f11-adb0-46c1-8647-8f12b3785df4.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-04-30 10:40:00.000,bd4a4f11-adb0-46c1-8647-8f12b3785df4,
2024-05-01 02:59:00.000,,f66a250e-c61d-437a-a1ed-da5d17553db4.hr_rri.json,2024-05-01 10:47:59.013,2024-05-01 10:47:59.013,f66a250e-c61d-437a-a1ed-da5d17553db4.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-01 10:35:00.000,f66a250e-c61d-437a-a1ed-da5d17553db4,
