"event","experiment time","system time","system time text"
"START",0.000000000E0,1772132293.976,"2026-02-26 13:58:13.976 UTC-05:00"
"PAUSE",1.568891150E3,1772133862.867,"2026-02-26 14:24:22.867 UTC-05:00"
