"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.493088226E2,3.621362385E1,-8.168218308E1,9.748221278E2,9.425898438E2,1.419999957E0,3.262000122E2,2.642231084E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.503091473E2,3.621363179E1,-8.168219358E1,9.747989271E2,9.425666504E2,1.269999981E0,3.141000061E2,2.651995540E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.513096973E2,3.621363566E1,-8.168220335E1,9.744443059E2,9.422120361E2,8.999999762E-1,2.970000000E2,2.659717320E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.523094827E2,3.621363710E1,-8.168221177E1,9.743362677E2,9.421040039E2,6.600000262E-1,2.970000000E2,2.663820912E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.533092078E2,3.621363908E1,-8.168221563E1,9.742386087E2,9.420063477E2,3.600000143E-1,2.970000000E2,2.666196383E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.543097215E2,3.621364048E1,-8.168221763E1,9.742679042E2,9.420356445E2,3.100000024E-1,2.970000000E2,2.667085889E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.553093329E2,3.621364028E1,-8.168221859E1,9.742903644E2,9.420581055E2,0.000000000E0,NaN,2.667724911E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.563086887E2,3.621363972E1,-8.168221843E1,9.743069661E2,9.420747070E2,0.000000000E0,NaN,2.667927557E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.573089554E2,3.621363960E1,-8.168221860E1,9.743124591E2,9.420802002E2,0.000000000E0,NaN,2.670729384E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.583093420E2,3.621363718E1,-8.168221947E1,9.744458814E2,9.422136230E2,3.799999952E-1,2.970000000E2,2.684784146E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.593093672E2,3.621362509E1,-8.168221490E1,9.740132674E2,9.417810059E2,1.389999986E0,1.603999939E2,2.692935885E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.603092254E2,3.621361838E1,-8.168221124E1,9.741974740E2,9.419652100E2,4.900000095E-1,1.558999939E2,2.693892534E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.613087697E2,3.621361819E1,-8.168221020E1,9.742017472E2,9.419694824E2,3.400000036E-1,1.558999939E2,2.702160740E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.623093546E2,3.621362551E1,-8.168221182E1,9.740857793E2,9.418535156E2,7.500000000E-1,3.432000122E2,2.709639601E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.633089240E2,3.621363176E1,-8.168221490E1,9.744192733E2,9.421870117E2,6.899999976E-1,3.432000122E2,2.715964781E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.643094034E2,3.621363697E1,-8.168221773E1,9.741353357E2,9.419030762E2,5.699999928E-1,3.432000122E2,2.720248495E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.653092699E2,3.621364057E1,-8.168221943E1,9.742027173E2,9.419704590E2,3.400000036E-1,3.432000122E2,2.730503516E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.663097302E2,3.621364958E1,-8.168222187E1,9.741751278E2,9.419428711E2,1.009999990E0,3.466000061E2,2.747812961E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.673093485E2,3.621366463E1,-8.168222680E1,9.743019554E2,9.420697021E2,1.720000029E0,3.402999878E2,2.767020852E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.683090737E2,3.621368063E1,-8.168223487E1,9.742954800E2,9.420632324E2,1.870000005E0,3.330000000E2,2.786029244E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.693087817E2,3.621369591E1,-8.168224437E1,9.744331686E2,9.422009277E2,1.830000043E0,3.317999878E2,2.805455965E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.703097199E2,3.621371159E1,-8.168225392E1,9.745293533E2,9.422971191E2,1.879999995E0,3.317999878E2,2.824893067E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.713090762E2,3.621372708E1,-8.168226396E1,9.747128180E2,9.424805908E2,1.879999995E0,3.302999878E2,2.843588589E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.723089924E2,3.621374140E1,-8.168227488E1,9.749524343E2,9.427202148E2,1.840000033E0,3.271000061E2,2.861876686E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.733093570E2,3.621375520E1,-8.168228597E1,9.750721775E2,9.428399658E2,1.860000014E0,3.257999878E2,2.880100305E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.743088133E2,3.621376921E1,-8.168229651E1,9.750931661E2,9.428609619E2,1.850000024E0,3.263999939E2,2.898075150E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.753088134E2,3.621378309E1,-8.168230678E1,9.750814402E2,9.428492432E2,1.850000024E0,3.267000122E2,2.916226405E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.763094065E2,3.621379738E1,-8.168231656E1,9.753902712E2,9.431580811E2,1.879999995E0,3.285000000E2,2.930743836E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.773092512E2,3.621380981E1,-8.168232151E1,9.755161222E2,9.432839355E2,1.779999971E0,3.341000061E2,2.946173049E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.783096377E2,3.621382282E1,-8.168232749E1,9.758132372E2,9.435810547E2,1.789999962E0,3.345000000E2,2.963641476E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.793088238E2,3.621383720E1,-8.168233533E1,9.758466789E2,9.436145020E2,1.789999962E0,3.331000061E2,2.981908451E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.803093141E2,3.621385246E1,-8.168234287E1,9.759330994E2,9.437009277E2,1.840000033E0,3.350000000E2,3.000556585E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.813097390E2,3.621386691E1,-8.168235342E1,9.759592151E2,9.437270508E2,1.809999943E0,3.292999878E2,3.018853399E-1,3.790092468E0,2.500000000E0,3.200000000E1
1.823091043E2,3.621388126E1,-8.168236340E1,9.762496133E2,9.440174561E2,1.779999971E0,3.317000122E2,3.037447130E-1,3.790092468E0,2.500000000E0,3.200000000E1
1.833089888E2,3.621389561E1,-8.168237404E1,9.763337123E2,9.441015625E2,1.759999990E0,3.306000061E2,3.055115731E-1,3.790092468E0,2.500000000E0,3.200000000E1
1.843097493E2,3.621390952E1,-8.168238356E1,9.761000630E2,9.438679199E2,1.759999990E0,3.297999878E2,3.072763473E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.853094401E2,3.621392369E1,-8.168239242E1,9.763090412E2,9.440769043E2,1.769999981E0,3.312000122E2,3.090320456E-1,3.790092468E0,2.500000000E0,3.200000000E1
1.863091495E2,3.621393731E1,-8.168240232E1,9.763992442E2,9.441671143E2,1.740000010E0,3.287999878E2,3.108114616E-1,3.790092468E0,2.500000000E0,3.200000000E1
1.873097518E2,3.621395061E1,-8.168241335E1,9.766168878E2,9.443847656E2,1.769999981E0,3.306000061E2,3.126100018E-1,3.790092468E0,2.500000000E0,3.200000000E1
1.883096485E2,3.621396496E1,-8.168242260E1,9.767302846E2,9.444981689E2,1.809999943E0,3.347000122E2,3.143736501E-1,3.790092468E0,2.500000000E0,3.200000000E1
1.893094495E2,3.621397969E1,-8.168242989E1,9.766473937E2,9.444152832E2,1.799999952E0,3.357999878E2,3.163051284E-1,3.790092468E0,2.500000000E0,3.200000000E1
1.903090521E2,3.621399581E1,-8.168243791E1,9.765140873E2,9.442819824E2,1.850000024E0,3.331000061E2,3.182560526E-1,3.790092468E0,2.500000000E0,3.200000000E1
1.913092229E2,3.621401184E1,-8.168244675E1,9.764997989E2,9.442677002E2,1.899999976E0,3.325000000E2,3.201523257E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.923090211E2,3.621402707E1,-8.168245626E1,9.767482053E2,9.445161133E2,1.899999976E0,3.327999878E2,3.219974788E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.933096431E2,3.621404185E1,-8.168246561E1,9.767215874E2,9.444895020E2,1.799999952E0,3.302000122E2,3.240028471E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.943087707E2,3.621405791E1,-8.168247578E1,9.767506330E2,9.445185547E2,1.950000048E0,3.313999939E2,3.258783620E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.953088931E2,3.621407313E1,-8.168248479E1,9.767810222E2,9.445489502E2,1.809999943E0,3.325000000E2,3.278576362E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.963089060E2,3.621408926E1,-8.168249412E1,9.768396094E2,9.446075439E2,1.870000005E0,3.317000122E2,3.297228043E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.973094357E2,3.621410440E1,-8.168250307E1,9.766163365E2,9.443842773E2,1.830000043E0,3.325000000E2,3.316993448E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.983094865E2,3.621412030E1,-8.168251292E1,9.765773892E2,9.443453369E2,1.870000005E0,3.356000061E2,3.336728368E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.993094663E2,3.621413605E1,-8.168252306E1,9.763318987E2,9.440998535E2,1.840000033E0,3.338999939E2,3.356424049E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.003096125E2,3.621415127E1,-8.168253429E1,9.761399962E2,9.439079590E2,1.860000014E0,3.350000000E2,3.374572479E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.013090768E2,3.621416543E1,-8.168254435E1,9.761376698E2,9.439056396E2,1.820000052E0,3.321000061E2,3.392820088E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.023095666E2,3.621418019E1,-8.168255324E1,9.763164966E2,9.440844727E2,1.830000043E0,3.346000061E2,3.412061723E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.033090927E2,3.621419606E1,-8.168256179E1,9.762708363E2,9.440388184E2,1.789999962E0,3.348999939E2,3.430833079E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.043088191E2,3.621421176E1,-8.168256948E1,9.760799130E2,9.438479004E2,1.820000052E0,3.341000061E2,3.449723321E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.053095620E2,3.621422716E1,-8.168257837E1,9.762217524E2,9.439897461E2,1.830000043E0,3.317000122E2,3.469029762E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.063088134E2,3.621424332E1,-8.168258624E1,9.762407899E2,9.440087891E2,1.809999943E0,3.372000122E2,3.488059902E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.073095603E2,3.621425935E1,-8.168259367E1,9.763479624E2,9.441159668E2,1.820000052E0,3.373999939E2,3.506665690E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.083092871E2,3.621427467E1,-8.168260201E1,9.763226880E2,9.440906982E2,1.820000052E0,3.365000000E2,3.525574125E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.093094933E2,3.621429064E1,-8.168260925E1,9.762468773E2,9.440148926E2,1.769999981E0,3.377999878E2,3.545432646E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.103088156E2,3.621430732E1,-8.168261716E1,9.762406462E2,9.440086670E2,1.779999971E0,3.382000122E2,3.565360062E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.113090938E2,3.621432365E1,-8.168262631E1,9.763032618E2,9.440712891E2,1.779999971E0,3.356000061E2,3.583970466E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.123096366E2,3.621433826E1,-8.168263643E1,9.760295731E2,9.437976074E2,1.740000010E0,3.343999939E2,3.602841337E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.133095816E2,3.621435343E1,-8.168264586E1,9.760930430E2,9.438610840E2,1.830000043E0,3.366000061E2,3.621561855E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.143096352E2,3.621436860E1,-8.168265491E1,9.760466500E2,9.438146973E2,1.850000024E0,3.352000122E2,3.640210294E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.153095978E2,3.621438399E1,-8.168266317E1,9.761057262E2,9.438737793E2,1.779999971E0,3.368999939E2,3.656088287E-1,3.790092468E0,2.500000000E0,2.900000000E1
2.163088241E2,3.621439702E1,-8.168267041E1,9.760921713E2,9.438602295E2,1.779999971E0,3.400000000E2,3.675427570E-1,3.790092468E0,2.500000000E0,2.900000000E1
2.173095615E2,3.621441301E1,-8.168267889E1,9.761792015E2,9.439472656E2,1.940000057E0,3.355000000E2,3.695996208E-1,3.790092468E0,2.500000000E0,2.900000000E1
2.183092555E2,3.621443025E1,-8.168268720E1,9.755927699E2,9.433608398E2,1.889999986E0,3.375000000E2,3.715487920E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.193090274E2,3.621444657E1,-8.168269513E1,9.758923249E2,9.436604004E2,1.820000052E0,3.382000122E2,3.733284080E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.203089316E2,3.621446177E1,-8.168270134E1,9.757172718E2,9.434853516E2,1.789999962E0,3.410000000E2,3.751106588E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.213097452E2,3.621447708E1,-8.168270722E1,9.757343575E2,9.435024414E2,1.889999986E0,3.382999878E2,3.768382099E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.223096277E2,3.621449192E1,-8.168271292E1,9.755981231E2,9.433662109E2,1.870000005E0,3.378999939E2,3.786777493E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.233089787E2,3.621450753E1,-8.168271971E1,9.756523176E2,9.434204102E2,1.879999995E0,3.382999878E2,3.804138628E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.243095477E2,3.621452278E1,-8.168272386E1,9.755513625E2,9.433194580E2,1.789999962E0,3.435000000E2,3.821457802E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.253095240E2,3.621453750E1,-8.168273017E1,9.755529450E2,9.433210449E2,1.769999981E0,3.397999878E2,3.838648363E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.263087961E2,3.621455199E1,-8.168273685E1,9.752167587E2,9.429848633E2,1.779999971E0,3.406000061E2,3.855536772E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.273090044E2,3.621456646E1,-8.168274257E1,9.750959051E2,9.428640137E2,1.710000038E0,3.427999878E2,3.872153291E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.283096454E2,3.621458053E1,-8.168274881E1,9.752267602E2,9.429948730E2,1.720000029E0,3.390000000E2,3.889343602E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.293095273E2,3.621459469E1,-8.168275650E1,9.751388641E2,9.429069824E2,1.720000029E0,3.356000061E2,3.906398008E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.303094076E2,3.621460927E1,-8.168276240E1,9.749413503E2,9.427094727E2,1.720000029E0,3.392000122E2,3.923455235E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.313089563E2,3.621462407E1,-8.168276740E1,9.749755265E2,9.427436523E2,1.620000005E0,3.397000122E2,3.941992256E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.323096853E2,3.621463984E1,-8.168277410E1,9.750613372E2,9.428294678E2,1.759999990E0,3.422000122E2,3.960532502E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.333088199E2,3.621465593E1,-8.168277952E1,9.750778130E2,9.428459473E2,1.789999962E0,3.442000122E2,3.979475664E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.343093732E2,3.621467222E1,-8.168278570E1,9.750922130E2,9.428603516E2,1.789999962E0,3.407000122E2,3.998479910E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.353092167E2,3.621468817E1,-8.168279331E1,9.750792682E2,9.428474121E2,1.820000052E0,3.396000061E2,4.017220230E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.363087619E2,3.621470384E1,-8.168280100E1,9.751483546E2,9.429165039E2,1.850000024E0,3.413999939E2,4.035416536E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.373094680E2,3.621471907E1,-8.168280842E1,9.751573826E2,9.429255371E2,1.789999962E0,3.402999878E2,4.053892476E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.383088237E2,3.621473461E1,-8.168281571E1,9.753753951E2,9.431435547E2,1.789999962E0,3.413999939E2,4.072563902E-1,3.790092468E0,2.500000000E0,2.900000000E1
2.393096221E2,3.621474989E1,-8.168282434E1,9.753927230E2,9.431608887E2,1.769999981E0,3.385000000E2,4.090549423E-1,3.790092468E0,2.500000000E0,2.900000000E1
2.403093415E2,3.621476490E1,-8.168283181E1,9.754542413E2,9.432224121E2,1.750000000E0,3.382000122E2,4.108642340E-1,3.790092468E0,2.500000000E0,2.900000000E1
2.413091545E2,3.621478055E1,-8.168283733E1,9.756129288E2,9.433811035E2,1.789999962E0,3.407999878E2,4.125888860E-1,3.790092468E0,2.500000000E0,2.800000000E1
2.423094861E2,3.621479555E1,-8.168284222E1,9.757188825E2,9.434870605E2,1.779999971E0,3.422000122E2,4.143538954E-1,3.790092468E0,2.500000000E0,2.800000000E1
2.433088033E2,3.621481069E1,-8.168284813E1,9.757045961E2,9.434727783E2,1.840000033E0,3.403999939E2,4.161817344E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.443096884E2,3.621482628E1,-8.168285459E1,9.759028338E2,9.436710205E2,1.769999981E0,3.397000122E2,4.179609783E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.453089233E2,3.621484132E1,-8.168286136E1,9.756280488E2,9.433962402E2,1.779999971E0,3.410000000E2,4.196222544E-1,3.790092468E0,2.500000000E0,2.900000000E1
2.463097587E2,3.621485484E1,-8.168286924E1,9.759852210E2,9.437534180E2,1.769999981E0,3.373999939E2,4.211600272E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.473093683E2,3.621486763E1,-8.168287576E1,9.763581413E2,9.441263428E2,1.690000057E0,3.393999939E2,4.228135858E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.483094150E2,3.621488164E1,-8.168288194E1,9.765130442E2,9.442812500E2,1.700000048E0,3.430000000E2,4.245613539E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.493094993E2,3.621489633E1,-8.168288887E1,9.766645286E2,9.444327393E2,1.779999971E0,3.403999939E2,4.262036305E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.503093310E2,3.621491014E1,-8.168289536E1,9.767376442E2,9.445058594E2,1.649999976E0,3.382000122E2,4.279809993E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.513088169E2,3.621492499E1,-8.168290269E1,9.763045336E2,9.440727539E2,1.730000019E0,3.397000122E2,4.297234249E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.523094354E2,3.621493961E1,-8.168290968E1,9.761873412E2,9.439555664E2,1.779999971E0,3.381000061E2,4.314605195E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.533088259E2,3.621495427E1,-8.168291637E1,9.762586256E2,9.440268555E2,1.769999981E0,3.398999939E2,4.331630418E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.543092512E2,3.621496871E1,-8.168292268E1,9.763828888E2,9.441511230E2,1.750000000E0,3.415000000E2,4.349381737E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.553091076E2,3.621498366E1,-8.168292962E1,9.764490460E2,9.442172852E2,1.750000000E0,3.398999939E2,4.367766455E-1,3.790092468E0,2.500000000E0,2.900000000E1
2.563089411E2,3.621499883E1,-8.168293777E1,9.765000657E2,9.442683105E2,1.750000000E0,3.376000061E2,4.386673809E-1,3.790092468E0,2.500000000E0,2.900000000E1
2.573088229E2,3.621501447E1,-8.168294604E1,9.765366810E2,9.443049316E2,1.820000052E0,3.403999939E2,4.405011496E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.583096432E2,3.621502949E1,-8.168295448E1,9.767813040E2,9.445495605E2,1.799999952E0,3.386000061E2,4.423096275E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.593088302E2,3.621504458E1,-8.168296200E1,9.767971679E2,9.445654297E2,1.769999981E0,3.403999939E2,4.440666392E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.603093499E2,3.621505918E1,-8.168296949E1,9.766904732E2,9.444587402E2,1.720000029E0,3.397999878E2,4.458857802E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.613092368E2,3.621507448E1,-8.168297667E1,9.767458881E2,9.445141602E2,1.789999962E0,3.432999878E2,4.475480753E-1,3.790092468E0,2.500000000E0,2.900000000E1
2.623090849E2,3.621508815E1,-8.168298417E1,9.766800870E2,9.444483643E2,1.750000000E0,3.398999939E2,4.492630261E-1,3.790092468E0,2.500000000E0,2.900000000E1
2.633090291E2,3.621510268E1,-8.168299058E1,9.764931929E2,9.442614746E2,1.769999981E0,3.402000122E2,4.509984870E-1,3.790092468E0,2.500000000E0,2.800000000E1
2.643090278E2,3.621511727E1,-8.168299745E1,9.764438717E2,9.442121582E2,1.740000010E0,3.406000061E2,4.528022787E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.653096483E2,3.621513264E1,-8.168300388E1,9.764624219E2,9.442307129E2,1.820000052E0,3.431000061E2,4.546213366E-1,3.790092468E0,2.500000000E0,2.800000000E1
2.663093488E2,3.621514833E1,-8.168300962E1,9.767939608E2,9.445622559E2,1.809999943E0,3.427999878E2,4.564421119E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.673090913E2,3.621516359E1,-8.168301698E1,9.769530133E2,9.447213135E2,1.759999990E0,3.370000000E2,4.582669623E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.683089793E2,3.621517878E1,-8.168302468E1,9.768105519E2,9.445788574E2,1.720000029E0,3.382000122E2,4.600087870E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.693090981E2,3.621519302E1,-8.168303277E1,9.768138421E2,9.445821533E2,1.769999981E0,3.352999878E2,4.617574523E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.703095504E2,3.621520774E1,-8.168303963E1,9.768503364E2,9.446186523E2,1.750000000E0,3.418999939E2,4.635265882E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.713089611E2,3.621522283E1,-8.168304588E1,9.766823633E2,9.444506836E2,1.750000000E0,3.402000122E2,4.654119770E-1,3.790092468E0,2.500000000E0,3.000000000E1
2.723089555E2,3.621523897E1,-8.168305232E1,9.767682963E2,9.445366211E2,1.750000000E0,3.397000122E2,4.671722248E-1,3.790092468E0,2.500000000E0,2.900000000E1
2.733088013E2,3.621525406E1,-8.168305825E1,9.768046691E2,9.445729980E2,1.759999990E0,3.402999878E2,4.690282171E-1,3.790092468E0,2.500000000E0,2.900000000E1
2.743091785E2,3.621526989E1,-8.168306481E1,9.769279556E2,9.446962891E2,1.769999981E0,3.400000000E2,4.708466602E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.753095483E2,3.621528538E1,-8.168307131E1,9.771042206E2,9.448725586E2,1.720000029E0,3.388999939E2,4.725575839E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.763095680E2,3.621529986E1,-8.168307776E1,9.772165207E2,9.449848633E2,1.639999986E0,3.401000061E2,4.742096629E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.773090050E2,3.621531389E1,-8.168308382E1,9.773410282E2,9.451093750E2,1.730000019E0,3.375000000E2,4.758200880E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.783087822E2,3.621532731E1,-8.168309057E1,9.773129474E2,9.450812988E2,1.669999957E0,3.360000000E2,4.773764537E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.793092803E2,3.621534044E1,-8.168309658E1,9.775739295E2,9.453422852E2,1.639999986E0,3.362999878E2,4.789240225E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.803091891E2,3.621535305E1,-8.168310388E1,9.775836900E2,9.453520508E2,1.720000029E0,3.357000122E2,4.804699853E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.813091979E2,3.621536579E1,-8.168311078E1,9.777611754E2,9.455295410E2,1.649999976E0,3.362999878E2,4.820834636E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.823088116E2,3.621537921E1,-8.168311762E1,9.778351452E2,9.456035156E2,1.600000024E0,3.375000000E2,4.838831332E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.833091052E2,3.621539343E1,-8.168312720E1,9.778927557E2,9.456611328E2,1.690000057E0,3.341000061E2,4.858215125E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.843091164E2,3.621540857E1,-8.168313791E1,9.777255119E2,9.454938965E2,1.740000010E0,3.327000122E2,4.877347220E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.853092829E2,3.621542281E1,-8.168314988E1,9.777169586E2,9.454853516E2,1.730000019E0,3.318999939E2,4.896256050E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.863089673E2,3.621543679E1,-8.168316188E1,9.773653876E2,9.451337891E2,1.690000057E0,3.352999878E2,4.915213281E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.873093767E2,3.621545164E1,-8.168317226E1,9.773685542E2,9.451369629E2,1.740000010E0,3.352000122E2,4.933696877E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.883091977E2,3.621546568E1,-8.168318329E1,9.771303873E2,9.448988037E2,1.659999967E0,3.247999878E2,4.952701006E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.893090877E2,3.621548069E1,-8.168319342E1,9.772448821E2,9.450133057E2,1.690000057E0,3.316000061E2,4.971127306E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.903087834E2,3.621549483E1,-8.168320413E1,9.772335221E2,9.450019531E2,1.700000048E0,3.287000122E2,4.987498622E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.913089457E2,3.621550668E1,-8.168321496E1,9.773301941E2,9.450986328E2,1.600000024E0,3.235000000E2,5.002988034E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.923088333E2,3.621551737E1,-8.168322603E1,9.777706160E2,9.455390625E2,1.509999990E0,3.185000000E2,5.015725214E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.933088099E2,3.621552589E1,-8.168323552E1,9.783382363E2,9.461066895E2,1.250000000E0,3.171000061E2,5.026027958E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.943091785E2,3.621552982E1,-8.168324592E1,9.781123989E2,9.458808594E2,1.059999943E0,2.957000122E2,5.039699129E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.953089824E2,3.621553749E1,-8.168325783E1,9.783134403E2,9.460819092E2,1.470000029E0,3.090000000E2,5.048775483E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.963096370E2,3.621553989E1,-8.168326750E1,9.785175350E2,9.462860107E2,8.399999738E-1,2.860000000E2,5.058283608E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.973091275E2,3.621554574E1,-8.168327523E1,9.788079349E2,9.465764160E2,9.200000167E-1,3.160000000E2,5.070174605E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.983090662E2,3.621555350E1,-8.168328435E1,9.802643494E2,9.480328369E2,9.900000095E-1,3.096000061E2,5.082662562E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.993093987E2,3.621555934E1,-8.168329624E1,9.806392189E2,9.484077148E2,1.009999990E0,3.000000000E2,5.099853694E-1,3.790092468E0,2.500000000E0,3.200000000E1
3.003093593E2,3.621556739E1,-8.168331260E1,9.803541732E2,9.481226807E2,1.539999962E0,3.051000061E2,5.119870679E-1,3.790092468E0,2.500000000E0,3.200000000E1
3.013091104E2,3.621557904E1,-8.168332961E1,9.802436876E2,9.480122070E2,1.679999948E0,3.126000061E2,5.138256056E-1,3.790092468E0,2.500000000E0,3.200000000E1
3.023096287E2,3.621559113E1,-8.168334359E1,9.799558359E2,9.477243652E2,1.559999943E0,3.217000122E2,5.155919342E-1,3.790092468E0,2.500000000E0,3.200000000E1
