"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.472164810E-1,-1.365282834E-1,-4.408916533E-1,4.581485689E-2,4.638150744E-1
1.493736690E-1,-1.377500147E-1,-4.421133697E-1,4.337139800E-2,4.651025439E-1
1.515308560E-1,-1.438586563E-1,-4.457785785E-1,4.337139800E-2,4.704199530E-1
1.536880440E-1,-1.450803876E-1,-4.543306828E-1,4.337139800E-2,4.789005808E-1
1.558452310E-1,-1.475238502E-1,-4.555523992E-1,4.214967042E-2,4.806951939E-1
1.580024190E-1,-1.499672979E-1,-4.567741454E-1,4.092793912E-2,4.825017166E-1
1.601596060E-1,-1.524107605E-1,-4.506655037E-1,4.214967042E-2,4.776034243E-1
1.623167940E-1,-1.560759544E-1,-4.482220411E-1,4.214967042E-2,4.764864074E-1
1.644739810E-1,-1.597411335E-1,-4.482220411E-1,4.092793912E-2,4.775932622E-1
1.666311690E-1,-1.634063274E-1,-4.408916533E-1,4.092793912E-2,4.719768786E-1
1.687883560E-1,-1.682932526E-1,-4.531089365E-1,4.214967042E-2,4.851875122E-1
1.709454920E-1,-1.731801629E-1,-4.457785785E-1,4.214967042E-2,4.800901005E-1
1.731026790E-1,-1.792888194E-1,-4.543306828E-1,4.214967042E-2,4.902422307E-1
1.752598670E-1,-1.878409237E-1,-4.641045034E-1,4.092793912E-2,5.023467914E-1
1.774171060E-1,-1.927278340E-1,-4.677697122E-1,4.214967042E-2,5.076702831E-1
1.795742420E-1,-2.025016695E-1,-4.848739207E-1,3.970621154E-2,5.269594181E-1
1.817314290E-1,-2.110537887E-1,-5.019781590E-1,3.970621154E-2,5.459875063E-1
1.838886170E-1,-2.196058929E-1,-5.129737258E-1,3.970621154E-2,5.594152079E-1
1.860458040E-1,-2.281579971E-1,-5.215258002E-1,3.970621154E-2,5.706328199E-1
1.882029920E-1,-2.367101014E-1,-5.325213671E-1,3.726275265E-2,5.839513603E-1
1.903601790E-1,-2.464839369E-1,-5.422952175E-1,3.604102135E-2,5.967724770E-1
1.925173670E-1,-2.587012351E-1,-5.532907844E-1,3.481929377E-2,6.117756160E-1
1.946745540E-1,-2.709185183E-1,-5.593994260E-1,3.115410358E-2,6.223304102E-1
1.968317420E-1,-2.831358314E-1,-5.667297840E-1,2.748891525E-2,6.341168564E-1
1.989889290E-1,-2.965748608E-1,-5.765036345E-1,2.504545636E-2,6.487991704E-1
2.011461170E-1,-3.112356067E-1,-5.899426341E-1,2.382372692E-2,6.674335056E-1
2.033033040E-1,-3.258963525E-1,-5.972730517E-1,2.260199748E-2,6.807748389E-1
2.054604400E-1,-3.442223072E-1,-6.180424690E-1,2.015853859E-2,7.077230087E-1
2.076176270E-1,-3.613265157E-1,-6.424770355E-1,1.771507785E-2,7.373244985E-1
2.097748670E-1,-3.808741868E-1,-6.913462281E-1,1.893680729E-2,7.895462975E-1
2.119320020E-1,-3.992001414E-1,-7.353284955E-1,1.771507785E-2,8.368886265E-1
2.140891900E-1,-4.101957083E-1,-7.194460034E-1,1.649334840E-2,8.283327239E-1
2.162464290E-1,-4.272999167E-1,-7.512109876E-1,1.527161989E-2,8.643705161E-1
2.184035650E-1,-4.431824088E-1,-7.780889869E-1,1.649334840E-2,8.956032322E-1
2.205608040E-1,-4.566214085E-1,-7.878628373E-1,1.649334840E-2,9.107705483E-1
2.227179400E-1,-4.700604379E-1,-8.061888218E-1,1.649334840E-2,9.333644852E-1
2.248751270E-1,-4.822777510E-1,-8.245147467E-1,1.893680729E-2,9.553925891E-1
2.270323150E-1,-4.908298552E-1,-8.281798959E-1,2.138026804E-2,9.629397710E-1
2.291895020E-1,-5.006036758E-1,-8.452841640E-1,2.382372692E-2,9.826886221E-1
2.313466900E-1,-5.042688847E-1,-8.440623879E-1,2.748891525E-2,9.836076775E-1
2.335038770E-1,-5.054906011E-1,-8.513928056E-1,2.993237413E-2,9.905990128E-1
2.356610650E-1,-5.042688847E-1,-8.501710296E-1,3.237583488E-2,9.890025694E-1
2.378182520E-1,-5.018253922E-1,-8.599448800E-1,3.359756246E-2,9.962242304E-1
2.399754400E-1,-4.981602132E-1,-8.672752976E-1,3.481929377E-2,1.000770914E0
2.421326270E-1,-4.908298552E-1,-8.733839393E-1,3.604102135E-2,1.002503071E0
2.442898150E-1,-4.810560048E-1,-8.794925809E-1,3.726275265E-2,1.003150334E0
2.464470020E-1,-4.676169753E-1,-8.782708645E-1,3.970621154E-2,9.957921120E-1
2.486041380E-1,-4.541779757E-1,-8.807142973E-1,3.848448023E-2,9.916735160E-1
2.507613250E-1,-4.382954836E-1,-8.807142973E-1,3.970621154E-2,9.845492307E-1
2.529185650E-1,-4.248564541E-1,-8.807142973E-1,4.092793912E-2,9.786908482E-1
2.550757520E-1,-4.077522457E-1,-8.550579548E-1,4.092793912E-2,9.481883231E-1
2.572329400E-1,-3.943132162E-1,-8.452841640E-1,4.092793912E-2,9.336291161E-1
2.593900750E-1,-3.808741868E-1,-8.306233883E-1,4.092793912E-2,9.146996532E-1
2.615472630E-1,-3.698786199E-1,-8.257364631E-1,4.092793912E-2,9.057184972E-1
2.637044500E-1,-3.625482321E-1,-8.184061050E-1,3.970621154E-2,8.959946186E-1
2.658616380E-1,-3.552178741E-1,-8.110756874E-1,4.092793912E-2,8.863964152E-1
2.680188250E-1,-3.491092324E-1,-8.074105382E-1,4.092793912E-2,8.806044115E-1
2.701760130E-1,-3.417788446E-1,-8.122974634E-1,4.092793912E-2,8.822216524E-1
2.723332000E-1,-3.381136656E-1,-8.122974634E-1,4.092793912E-2,8.808082176E-1
2.744903880E-1,-3.381136656E-1,-8.171843290E-1,4.214967042E-2,8.853743125E-1
2.766475750E-1,-3.356702030E-1,-8.086322546E-1,4.459312931E-2,8.766693536E-1
2.788047630E-1,-3.381136656E-1,-8.061888218E-1,4.459312931E-2,8.753569640E-1
2.809619500E-1,-3.430005610E-1,-7.903063297E-1,4.581485689E-2,8.627470549E-1
2.831191380E-1,-3.466657698E-1,-7.854194045E-1,4.948004708E-2,8.599471333E-1
2.852763250E-1,-3.527744114E-1,-7.744238377E-1,5.070177838E-2,8.524979390E-1
2.874335130E-1,-3.588830531E-1,-7.634282708E-1,5.070177838E-2,8.450978883E-1
2.895907000E-1,-3.649916947E-1,-7.487674952E-1,5.192350596E-2,8.346063440E-1
2.917478360E-1,-3.698786199E-1,-7.475457788E-1,5.192350596E-2,8.356619743E-1
