"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.668047970E-1,2.748891478E-3,-2.290742937E-3,4.581485991E-4,3.607465551E-3
1.689620890E-1,1.527161920E-3,-1.069013379E-3,4.581485991E-4,1.919612792E-3
1.711194320E-1,-2.138026757E-3,-3.512472380E-3,-7.635809598E-4,4.182305168E-3
1.732767240E-1,-4.581485875E-3,-1.069013379E-3,-7.635809598E-4,4.766115641E-3
1.754340160E-1,-5.803215317E-3,1.374445739E-3,4.581485991E-4,5.981330057E-3
1.775913070E-1,-5.803215317E-3,1.527161949E-4,4.581485991E-4,5.823274886E-3
1.797486510E-1,-7.024944760E-3,-2.290742937E-3,-7.635809598E-4,7.428351632E-3
1.819059430E-1,-7.024944760E-3,2.596175298E-3,4.581485991E-4,7.503324276E-3
1.840632340E-1,-5.803215317E-3,1.527161949E-4,4.581485991E-4,5.823274886E-3
1.862205780E-1,-4.581485875E-3,3.817904973E-3,4.581485991E-4,5.981330232E-3
1.883778700E-1,-3.359756200E-3,1.374445739E-3,4.581485991E-4,3.658819885E-3
1.905351610E-1,-2.138026757E-3,1.527161949E-4,1.679878100E-3,2.723319864E-3
1.926925050E-1,3.054323897E-4,-2.290742937E-3,4.581485991E-4,2.355990723E-3
1.948497970E-1,1.527161920E-3,3.817904973E-3,4.581485991E-4,4.137453571E-3
1.970070890E-1,1.527161920E-3,-1.069013379E-3,4.581485991E-4,1.919612792E-3
1.991644320E-1,5.192350596E-3,1.374445739E-3,1.679878100E-3,5.627752325E-3
2.013217240E-1,5.192350596E-3,-1.069013379E-3,4.581485991E-4,5.321014420E-3
2.034790160E-1,6.414080039E-3,-2.290742937E-3,-7.635809598E-4,6.853537906E-3
2.056363070E-1,7.635809947E-3,1.374445739E-3,-7.635809598E-4,7.796008627E-3
2.077936510E-1,3.970621154E-3,1.527161949E-4,-7.635809598E-4,4.046258823E-3
2.099509430E-1,5.192350596E-3,2.596175298E-3,4.581485991E-4,5.823274940E-3
2.121082340E-1,1.527161920E-3,1.374445739E-3,4.581485991E-4,2.105047448E-3
2.142655780E-1,1.527161920E-3,3.817904973E-3,-7.635809598E-4,4.182305321E-3
2.164228700E-1,-9.162971983E-4,-3.512472380E-3,4.581485991E-4,3.658819880E-3
2.185801610E-1,-2.138026757E-3,2.596175298E-3,-7.635809598E-4,3.448817257E-3
2.207375050E-1,-9.162971983E-4,-1.069013379E-3,4.581485991E-4,1.480638476E-3
2.228947970E-1,-2.138026757E-3,1.527161949E-4,-7.635809598E-4,2.275420078E-3
2.250520890E-1,-3.359756200E-3,1.527161949E-4,-7.635809598E-4,3.448817165E-3
2.272094320E-1,-3.359756200E-3,1.374445739E-3,4.581485991E-4,3.658819885E-3
2.293667240E-1,-3.359756200E-3,3.817904973E-3,4.581485991E-4,5.106296138E-3
2.315240160E-1,-9.162971983E-4,1.527161949E-4,4.581485991E-4,1.035771660E-3
2.336813590E-1,-2.138026757E-3,1.374445739E-3,4.581485991E-4,2.582665221E-3
2.358386510E-1,3.054323897E-4,8.704823442E-3,-7.635809598E-4,8.743585991E-3
