"event","experiment time","system time","system time text"
"START",0.000000000E0,1772448339.146,"2026-03-02 05:45:39.146 UTC-05:00"
"PAUSE",7.541670570E0,1772448346.688,"2026-03-02 05:45:46.688 UTC-05:00"
